Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.639 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:402]avnetsdk module handle: 000001B1B3430000

[2021-05-13T17:36:22.639 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:734]Load configsdk dynamically
[2021-05-13T17:36:22.642 info Netsdk:48184 14224:12524 dhnetsdk.cpp:190]Enter CLIENT_SetAutoReconnect:[cbAutoConnect=000001B1AF2B0050, dwUser=0000000000000000].
[2021-05-13T17:36:22.642 info Netsdk:48184 14224:12524 dhnetsdk.cpp:192]Leave CLIENT_SetAutoReconnect.
[2021-05-13T17:36:22.642 info Netsdk:48184 14224:12524 dhnetsdk.cpp:210]Enter CLIENT_SetConnectTime:[nWaitTime=5000, nTryTimes=1].
[2021-05-13T17:36:22.642 info Netsdk:48184 14224:12524 dhnetsdk.cpp:223]Leave CLIENT_SetConnectTime.
[2021-05-13T17:36:22.643 info Netsdk:48184 14224:12524 dhnetsdk.cpp:234]Enter CLIENT_SetNetworkParam:[nWaittime=0, nConnectTime=1000, nConnectTryNum=0, nSubConnectSpaceTime=0, nGetDevInfoTime=0, nConnectBufSize=0, nGetConnInfoTime=3000, nSearchRecordTime=0, nsubDisconnetTime=0, byNetType=0, byPlaybackBufSize=0, bDetectDisconnTime=0, bKeepLifeInterval=0, nPicBufSize=0].
[2021-05-13T17:36:22.643 info Netsdk:48184 14224:12524 dhnetsdk.cpp:249]Leave CLIENT_SetNetworkParam.
[2021-05-13T17:36:22.762 info Netsdk:48184 14224:9612 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1AF2CE9D0, pstOutParam:000001B1AF2CECE0.
[2021-05-13T17:36:22.762 info Netsdk:48184 14224:14132 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1AF2CEB90, pstOutParam:000001B1B3340D40.
[2021-05-13T17:36:22.762 info Netsdk:48184 14224:14132 dhnetsdk.cpp:825]IP:170.242.0.154, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.762 info Netsdk:48184 14224:15104 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1AF2CEAB0, pstOutParam:000001B1B3340F90.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:10844 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1AF2CE810, pstOutParam:000001B1AF2CEE50.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:11064 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1AF2CE8F0, pstOutParam:000001B1B3340A80.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:15104 dhnetsdk.cpp:825]IP:170.242.0.154, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:10844 dhnetsdk.cpp:825]IP:170.242.0.138, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:11064 dhnetsdk.cpp:825]IP:170.242.0.162, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:9612 dhnetsdk.cpp:825]IP:170.242.0.162, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:12508 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3340E40, pstOutParam:000001B1B33411E0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:16368 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33412E0, pstOutParam:000001B1B3341510.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:16368 dhnetsdk.cpp:825]IP:170.242.0.82, port:8000, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:12508 dhnetsdk.cpp:825]IP:170.242.0.66, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:15904 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33413C0, pstOutParam:000001B1B3341760.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:15904 dhnetsdk.cpp:825]IP:170.242.0.82, port:8009, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:5876 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3340BF0, pstOutParam:000001B1B33419B0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:5876 dhnetsdk.cpp:825]IP:170.242.0.170, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:13128 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3341610, pstOutParam:000001B1B3341CE0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:13128 dhnetsdk.cpp:825]IP:170.242.0.170, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:14596 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3341AB0, pstOutParam:000001B1B3341F30.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:14596 dhnetsdk.cpp:825]IP:170.242.0.186, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:984 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3341B90, pstOutParam:000001B1B33422D0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:14708 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33418D0, pstOutParam:000001B1B33423D0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:984 dhnetsdk.cpp:825]IP:170.242.0.2, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:14708 dhnetsdk.cpp:825]IP:170.242.0.18, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:5220 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3341DE0, pstOutParam:000001B1B3347560.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:5220 dhnetsdk.cpp:825]IP:170.242.0.106, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:12236 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3341090, pstOutParam:000001B1B33476D0.
[2021-05-13T17:36:22.763 info Netsdk:48184 14224:12236 dhnetsdk.cpp:825]IP:170.242.0.66, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14436 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3342110, pstOutParam:000001B1B3347FE0.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14436 dhnetsdk.cpp:825]IP:170.242.0.106, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14652 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346AE0, pstOutParam:000001B1B33480E0.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14652 dhnetsdk.cpp:825]IP:170.242.0.18, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15956 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346F40, pstOutParam:000001B1B3348C30.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15956 dhnetsdk.cpp:825]IP:170.242.0.186, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15064 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3342030, pstOutParam:000001B1B3348830.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15064 dhnetsdk.cpp:825]IP:170.242.0.2, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:12860 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346D80, pstOutParam:000001B1B3349030.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:12860 dhnetsdk.cpp:825]IP:170.242.0.114, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14480 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B33473A0, pstOutParam:000001B1B3349C30.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:14480 dhnetsdk.cpp:825]IP:192.168.1.197, port:8000, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15252 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3347100, pstOutParam:000001B1B3348630.
[2021-05-13T17:36:22.764 info Netsdk:48184 14224:15252 dhnetsdk.cpp:825]IP:170.242.1.2, port:8001, SpeCap:0, CapParam:0000000000000000.
